id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados,c01011,0,2020-05(1)2020-11,0 - 100
microdados,c01021,0,2020-05(1)2020-11,0 - 100
microdados,c011a11,0,2020-05(1)2020-11,0 - 100
microdados,c011a21,0,2020-05(1)2020-11,0 - 100
microdados,b0046,9,2020-05(1)2020-11,Ignorado
microdados,b008,9,2020-05(1)2020-11,Ignorado
microdados,b0045,9,2020-05(1)2020-11,Ignorado
microdados,b009f,9,2020-05(1)2020-11,Ignorado
microdados,b0031,9,2020-05(1)2020-11,Ignorado
microdados,b0033,9,2020-05(1)2020-11,Ignorado
microdados,b005,9,2020-05(1)2020-11,Ignorado
microdados,f0061,9,2020-05(1)2020-11,Ignorado
microdados,b006,9,2020-05(1)2020-11,Ignorado
microdados,b009d,9,2020-05(1)2020-11,Ignorado
microdados,b0101,9,2020-05(1)2020-11,Ignorado
microdados,b0104,9,2020-05(1)2020-11,Ignorado
microdados,b0037,9,2020-05(1)2020-11,Ignorado
microdados,b0042,9,2020-05(1)2020-11,Ignorado
microdados,b00113,9,2020-05(1)2020-11,Ignorado
microdados,b007,9,2020-05(1)2020-11,Ignorado
microdados,b009c,9,2020-05(1)2020-11,Ignorado
microdados,b0106,9,2020-05(1)2020-11,Ignorado
microdados,b0032,9,2020-05(1)2020-11,Ignorado
microdados,b0043,9,2020-05(1)2020-11,Ignorado
microdados,b0034,9,2020-05(1)2020-11,Ignorado
microdados,b0035,9,2020-05(1)2020-11,Ignorado
microdados,b0044,9,2020-05(1)2020-11,Ignorado
microdados,b009a,9,2020-05(1)2020-11,Ignorado
microdados,b0105,9,2020-05(1)2020-11,Ignorado
microdados,b0041,9,2020-05(1)2020-11,Ignorado
microdados,b009e,9,2020-05(1)2020-11,Ignorado
microdados,b0102,9,2020-05(1)2020-11,Ignorado
microdados,b011,9,2020-05(1)2020-11,Ignorado
microdados,b0103,9,2020-05(1)2020-11,Ignorado
microdados,b0036,9,2020-05(1)2020-11,Ignorado
microdados,b009b,9,2020-05(1)2020-11,Ignorado
microdados,a004,9,2020-05(1)2020-11,Ignorado
microdados,b002,9,2020-05(1)2020-11,Ignorado
microdados,b009b,2,2020-05(1)2020-11,Negativo
microdados,b009d,2,2020-05(1)2020-11,Negativo
microdados,b009f,2,2020-05(1)2020-11,Negativo
microdados,b009b,1,2020-05(1)2020-11,Positivo
microdados,b009f,1,2020-05(1)2020-11,Positivo
microdados,b009d,1,2020-05(1)2020-11,Positivo
microdados,f0022,1,2020-05(1)2020-11,101 - 300
microdados,c01021,1,2020-05(1)2020-11,101 - 300
